date,nb
1919-01-01,104
1919-03-11,9
1919-08-12,132
1919-09-02,18
1919-09-11,598
1919-09-24,16
1919-10-01,131
1919-10-08,32
1919-10-12,58
1919-11-03,11
1919-12-17,17
1920-01-01,318
1920-02-23,31
1920-03-04,19
1920-03-11,17
1920-03-20,12
1920-04-03,4
1920-04-07,40
1920-09-01,275
1920-11-01,37
1921-01-01,1271
1921-06-11,207
1921-06-13,26
1921-06-21,9
1921-07-30,150
1921-11-22,6
1922-01-01,438
1922-06-01,24
1922-07-19,49
1922-07-21,19
1922-07-26,103
1922-07-27,51
1922-08-16,22
1922-08-17,18
1922-08-21,46
1922-09-18,26
1922-09-22,22
1922-10-04,21
1922-10-12,15
1922-10-13,53
1922-10-14,38
1922-10-16,154
1922-10-24,20
1922-10-27,34
1922-11-26,39
1922-12-04,98
1922-12-06,70
1923-01-01,832
1923-04-05,53
1923-06-11,70
1923-06-26,34
1923-06-30,79
1923-07-03,56
1923-07-05,61
1923-07-06,86
1923-07-12,54
1923-07-23,40
1923-07-25,36
1923-07-28,18
1923-08-01,257
1923-08-02,82
1923-08-06,49
1923-08-07,177
1923-08-08,39
1923-08-09,12
1923-08-12,36
1923-08-13,56
1923-08-20,84
1923-08-21,210
1923-09-12,26
1923-09-13,18
1923-10-16,8
1923-11-06,109
1923-11-09,461
1924-01-01,306
1924-03-09,353
1924-03-25,11
1924-04-22,252
1924-05-05,20
1924-05-14,15
1924-05-28,16
1924-06-16,64
1924-06-23,37
1924-06-24,81
1924-06-25,217
1924-06-26,15
1924-07-10,26
1924-07-11,6
1924-07-12,76
1924-07-15,178
1924-07-24,8
1924-08-01,45
1924-08-04,67
1924-08-05,59
1924-08-08,361
1924-08-10,59
1924-08-11,88
1924-08-28,47
1924-09-06,26
1924-09-07,10
1924-09-14,23
1924-09-15,119
1924-09-17,43
1924-09-18,140
1924-09-29,67
1924-10-09,103
1924-10-11,70
1924-10-13,119
1924-10-14,57
1924-10-15,91
1924-11-08,56
1924-11-25,158
1925-01-01,263
1925-02-24,17
1925-04-01,32
1925-04-21,133
1925-05-13,55
1925-05-15,17
1925-05-20,69
1925-05-24,5
1925-06-01,356
1925-06-05,11
1925-06-08,148
1925-06-09,12
1925-08-14,33
1925-08-16,122
1925-08-17,73
1925-08-26,53
1925-08-30,22
1925-09-08,64
1925-10-06,31
1926-01-01,262
1926-02-24,19
1926-02-25,39
1926-02-26,36
1926-02-27,127
1926-03-25,4
1926-04-12,41
1926-04-13,10
1926-04-14,33
1926-05-05,38
1926-05-21,12
1926-06-04,69
1926-06-07,164
1926-06-22,31
1926-06-23,185
1926-06-24,22
1926-06-29,67
1926-06-30,80
1926-07-02,12
1926-07-13,46
1926-07-23,18
1926-07-24,43
1926-08-02,50
1926-08-03,100
1926-08-06,79
1926-08-08,35
1926-08-13,134
1926-08-25,140
1926-08-26,24
1926-08-27,31
1926-08-28,60
1926-09-09,58
1926-09-10,68
1926-09-14,39
1926-09-16,22
1926-09-17,20
1926-09-23,6
1927-01-01,247
1927-02-08,36
1927-04-20,39
1927-05-23,28
1927-05-25,44
1927-06-16,74
1927-06-21,59
1927-07-05,53
1927-07-25,45
1927-07-26,49
1927-07-29,32
1927-08-02,43
1927-08-03,54
1927-08-04,153
1927-08-17,18
1927-08-23,17
1927-08-25,15
1927-08-29,22
1927-08-30,157
1927-08-31,23
1927-09-01,21
1927-09-06,7
1927-09-14,7
1927-09-21,14
1927-09-22,17
1927-09-28,13
1927-10-11,57
1927-11-03,13
1928-01-01,178
1928-03-16,40
1928-03-17,25
1928-03-26,31
1928-04-07,96
1928-04-08,39
1928-04-24,160
1928-04-25,326
1928-04-26,167
1928-04-27,48
1928-05-03,82
1928-05-05,42
1928-05-14,19
1928-05-26,71
1928-05-27,221
1928-05-28,110
1928-05-29,52
1928-05-30,23
1928-06-01,11
1928-06-02,115
1928-06-12,16
1928-06-13,9
1928-06-21,150
1928-06-22,62
1928-06-25,6
1929-01-01,218
1929-03-18,185
1929-03-28,55
1929-04-06,5
1929-04-07,59
1929-04-10,14
1929-04-17,11
1929-04-18,175
1929-04-19,305
1929-04-20,7
1929-04-21,58
1929-04-22,325
1929-09-01,168
1929-09-05,111
1929-09-09,138
1929-09-10,29
1929-09-11,50
1929-09-16,21
1929-09-21,10
1929-09-25,287
1929-09-26,51
1929-09-27,69
1929-09-28,6
1929-09-29,6
1929-09-30,5
1929-10-16,54
1929-12-18,33
1929-12-19,17
1930-01-01,1411
1930-01-06,75
1930-02-10,10
1930-03-07,189
1930-03-10,161
1930-04-04,19
1930-04-07,7
1930-04-22,17
1930-04-28,24
1930-04-29,4
1930-06-03,14
1930-06-04,2
1930-06-05,21
1930-06-07,19
1930-06-29,44
1930-06-30,96
1930-07-03,23
1930-07-06,7
1930-07-07,5
1930-07-11,6
1930-07-22,14
1930-07-27,24
1930-07-28,30
1930-07-31,3
1930-08-01,71
1930-08-07,6
1930-08-20,12
